date,twse_close,twse_change_pct,candidate_count,v01_score,v01_regime,v02_score,v02_regime,breakout_count,postbreakout_count,near_pivot_count,forming_count,extended_count,active_industry_count,t1_return_pct,t3_return_pct,t5_return_pct,t10_return_pct,v02_delta_1d,v02_delta_5d,divergence_1d
2026-07-08,45734.41,0.5614,117,56.5,中性偏多,58.1,中性偏多,3,68,26,20,16,26,-0.8304,-2.1788,-0.2393,-1.932,9.899999999999999,-9.399999999999999,9.338599999999998
2026-07-09,45354.61,-0.8304,102,66.4,中性偏多,70.4,偏多,4,49,28,21,8,20,0.0571,0.6107,-5.9164,-3.7477,12.300000000000004,8.900000000000006,13.130400000000005
2026-07-13,45380.52,0.0571,105,72.5,偏多,73.8,偏多,7,41,34,23,13,22,-1.416,0.5387,-6.4583,-3.8482,3.3999999999999915,9.599999999999994,3.3428999999999913
2026-07-14,44737.95,-1.416,94,32.9,中性偏空,54.6,中性,0,47,30,17,21,22,1.9975,-4.6195,-1.129,-7.0066,-19.199999999999996,0.10000000000000142,-17.783999999999995
2026-07-15,45631.59,1.9975,130,65.7,中性偏多,69.4,中性偏多,7,61,37,25,26,24,-0.0145,-6.973,-1.7659,-12.2556,14.800000000000004,21.200000000000003,12.802500000000004
2026-07-16,45624.98,-0.0145,118,61.8,中性偏多,65.2,中性偏多,4,52,36,26,20,25,-6.4739,-3.0512,-1.6968,-12.4749,-4.200000000000003,7.100000000000001,-4.185500000000003
2026-07-17,42671.27,-6.4739,69,62.6,中性偏多,65.1,中性偏多,1,30,25,13,6,14,-0.5192,5.0491,2.305,1.051,-0.10000000000000853,-5.300000000000011,6.373899999999992
2026-07-20,42449.7,-0.5192,55,74.3,偏多,82.2,偏多,2,19,21,13,1,10,4.2007,5.6564,2.7903,2.2066,17.10000000000001,8.400000000000006,17.61920000000001
2026-07-21,44232.87,4.2007,56,87.0,偏多,89.9,偏多,5,25,22,4,1,12,1.3404,-1.3068,-5.9447,-1.9719,7.700000000000003,35.300000000000004,3.4993000000000025
2026-07-22,44825.78,1.3404,64,67.0,中性偏多,71.1,偏多,1,23,26,14,4,10,0.0558,-2.6583,-10.6782,-0.4778,-18.80000000000001,1.6999999999999886,-20.14040000000001
2026-07-23,44850.81,0.0558,72,79.0,偏多,82.7,偏多,5,27,27,13,5,15,-2.6665,-7.2406,-10.9641,-1.0125,11.600000000000009,17.5,11.544200000000009
2026-07-24,43654.84,-2.6665,65,72.1,偏多,75.3,偏多,1,22,35,7,2,11,-0.0473,-8.2824,-1.2257,1.3081,-7.400000000000006,10.200000000000003,-4.733500000000006
2026-07-27,43634.19,-0.0473,59,72.8,偏多,77.7,偏多,2,22,25,10,3,10,-4.6542,-8.4816,-0.5679,2.9669,2.4000000000000057,-4.5,2.4473000000000056
